subj,object,cond,firstfix,rt,regrab,nfix,totfix
45,blkpen,C,2216.667,3266.667,-,2,1216.667
45,cards,E,4200.0,4200.0,-,0,0.0
45,thread,C,2600.0,2600.0,-,0,0.0
45,clip,E,3200.0,3200.0,-,0,0.0
45,smcandle,C,2083.333,2300.0,-,0,0.0
45,no1candle,E,2933.333,2933.333,-,1,433.333
45,tape,C,5700.0,9833.333,-,2,683.333
45,brush,E,1516.667,2833.333,-,0,0.0
45,glasses,C,83.333,4e3,-,1,216.667
46,lgmscup,C,1366.667,3166.667,-,0,0.0
46,blkpen,E,500.0,4700.0,G,2,1316.667
46,cards,C,966.667,1900.0,-,0,0.0
46,thread,E,633.333,2200.0,-,0,0.0
46,clip,C,566.667,1733.333,-,1,283.333
46,smcandle,E,1200.0,1200.0,-,1,133.333
46,no1candle,C,1133.333,1133.333,-,0,0.0
46,tape,E,1516.667,4966.667,-,2,933.333
46,brush,C,400.0,400.0,-,0,0.0
46,glasses,E,3766.667,3766.667,-,1,233.333
47,no1candle,E,1816.667,2933.333,-,0,0.0
47,thread,C,1666.667,2666.667,-,0,0.0
47,clip,E,1283.333,3466.667,-,2,433.333
47,tape,C,4416.667,7300.0,-,2,516.667
47,brush,E,2200.0,6566.667,G,1,466.667
47,smcandle,C,2400.0,2400.0,-,0,0.0
47,lgmscup,E,833.333,833.333,-,0,0.0
47,glasses,C,3600.0,3600.0,-,0,0.0
47,cards,E,1150.0,2666.667,-,2,1e3
47,blkpen,C,1816.667,2933.333,-,1,116.667
48,no1candle,C,1366.667,2666.667,-,0,0.0
48,thread,E,2316.667,3600.0,-,1,550.0
48,clip,C,3366.667,3366.667,-,0,0.0
48,tape,E,7833.333,8400.0,G,2,1750.0
48,brush,C,3550.0,3733.333,-,0,0.0
48,smcandle,E,866.667,866.667,-,0,0.0
48,lgmscup,C,1033.333,3166.667,-,0,0.0
48,glasses,E,33.333,4333.333,-,1,350.0
48,cards,C,1750.0,3400.0,-,1,300.0
48,blkpen,E,3700.0,3966.667,R,1,616.667
50,no1candle,C,700.0,2066.667,-,0,0.0
50,smcandle,E,0.0,2600.0,-,1,350.0
50,clip,C,133.333,133.333,-,0,0.0
50,glasses,E,2250.0,2966.667,-,0,0.0
50,cards,C,566.667,2400.0,-,1,200.0
50,blkpen,E,1566.667,2066.667,-,3,833.333
50,brush,C,3150.0,3666.667,-,0,0.0
50,tape,E,2200.0,2200.0,-,1,200.0
50,lgmscup,C,1833.333,3166.667,-,0,0.0
50,thread,E,2466.667,2466.667,-,0,0.0
